,submission,submit_time,hour_12,year,month,day,second,submission_type,zip_type
136,https://ckd.upgrad.com/UpGrad/797196cc-6537-410a-a098-ac2038797bba/DDA1610194.zip,03-01-2017 23:36,11:36:37 PM,2017,1,3,37,DDA1610194.zip,Y
137,https://ckd.upgrad.com/UpGrad/a2d78098-a4cd-4913-8fda-292d47d20b5a/DDA1610236.zip,03-01-2017 14:33,02:33:29 PM,2017,1,3,29,DDA1610236.zip,Y
138,https://ckd.upgrad.com/UpGrad/572da716-a2df-49ab-97c1-c327b10cb5ad/DDA1610041.zip,03-01-2017 08:42,08:42:40 AM,2017,1,3,40,DDA1610041.zip,Y
139,https://ckd.upgrad.com/UpGrad/539cf0f8-d5c5-411c-b824-61fa01d43fad/DDA1610135.zip,03-01-2017 22:27,10:27:07 PM,2017,1,3,7,DDA1610135.zip,Y
140,https://ckd.upgrad.com/UpGrad/49ca0843-7adf-4a92-9293-cba1fb53b4a4/DDA1610162.zip,31-12-2016 00:27,12:27:21 AM,2016,12,31,21,DDA1610162.zip,Y
141,https://ckd.upgrad.com/UpGrad/75849874-7723-4a33-829c-8ad53901f794/DDA1610219.zip,04-01-2017 03:11,03:11:27 AM,2017,1,4,27,DDA1610219.zip,Y
142,https://ckd.upgrad.com/UpGrad/7a64286b-a78c-4f75-8a02-f80ffc69a7af/DDA1610292.zip,10-01-2017 00:03,12:03:29 AM,2017,1,10,29,DDA1610292.zip,Y
143,https://ckd.upgrad.com/UpGrad/2723251a-a72d-438a-b275-a94ab648aad8/DDA1610098.zip,30-12-2016 17:34,05:34:34 PM,2016,12,30,34,DDA1610098.zip,Y
144,https://ckd.upgrad.com/UpGrad/567bfacb-48b0-425b-bb70-ca833d4b7a14/DDA1610255.zip,09-01-2017 21:20,09:20:33 PM,2017,1,9,33,DDA1610255.zip,Y
145,https://ckd.upgrad.com/UpGrad/a6a3aa94-dd30-4236-9249-b056fb29da13/DDA1610125.zip,02-01-2017 22:22,10:22:58 PM,2017,1,2,58,DDA1610125.zip,Y
146,https://ckd.upgrad.com/UpGrad/aa8c3d29-6a11-41dd-9f90-ad9da2cfa0d3/DDA1610222.zip,03-01-2017 23:18,11:18:20 PM,2017,1,3,20,DDA1610222.zip,Y
147,https://ckd.upgrad.com/UpGrad/aa008405-ca65-487a-8608-9a1dca83cc27/DDA1680584.zip,03-01-2017 21:28,09:28:46 PM,2017,1,3,46,DDA1680584.zip,Y
148,https://ckd.upgrad.com/UpGrad/d2343djgs-4239-9129-2sfdjhs345afbbc7/DDA1610231.zip,03-01-2017 12:51,12:51:19 PM,2017,1,3,19,DDA1610231.zip,Y
149,https://ckd.upgrad.com/UpGrad/8b6a8d61-733f-425a-910a-d1a531365a86/DDA1610169.zip,03-01-2017 22:46,10:46:50 PM,2017,1,3,50,DDA1610169.zip,Y
150,https://ckd.upgrad.com/UpGrad/b67a4743-6796-4c7a-aa7d-8afad6282cd2/DDA1610166.zip,09-01-2017 23:40,11:40:12 PM,2017,1,9,12,DDA1610166.zip,Y
151,https://ckd.upgrad.com/UpGrad/179b622a-41a5-4f93-b317-7f2882131d69/DDA1610175.zip,03-01-2017 21:47,09:47:40 PM,2017,1,3,40,DDA1610175.zip,Y
152,https://ckd.upgrad.com/UpGrad/a0b83a9b-f8b2-4a2c-8f73-6668af14fa8a/DDA1610015.zip,07-01-2017 11:31,11:31:44 AM,2017,1,7,44,DDA1610015.zip,Y
153,https://ckd.upgrad.com/UpGrad/8022a8ac-a72a-44f5-a90f-80ff7ad8339a/DDA1680843.zip,03-01-2017 17:04,05:04:30 PM,2017,1,3,30,DDA1680843.zip,Y
154,https://ckd.upgrad.com/UpGrad/490acf73-0029-45a3-835c-fac81df400bf/DDA1610199.zip,03-01-2017 23:46,11:46:26 PM,2017,1,3,26,DDA1610199.zip,Y
155,https://ckd.upgrad.com/UpGrad/19aa3aa1-77ba-459b-8177-022543079074/DDA1610016.zip,30-12-2016 20:52,08:52:24 PM,2016,12,30,24,DDA1610016.zip,Y
156,https://ckd.upgrad.com/UpGrad/fa2dfa52-db3c-4082-ac59-b8879b47c692/DDA1610186.zip,03-01-2017 14:38,02:38:39 PM,2017,1,3,39,DDA1610186.zip,Y
157,https://ckd.upgrad.com/UpGrad/901d5bdd-4211-4975-a0bf-c3c6a0d75470/DDA1610080.zip,03-01-2017 21:35,09:35:11 PM,2017,1,3,11,DDA1610080.zip,Y
158,https://ckd.upgrad.com/UpGrad/25f087f9-974d-4908-849b-219f76fba301/DDA1610031.zip,03-01-2017 20:27,08:27:34 PM,2017,1,3,34,DDA1610031.zip,Y
159,https://ckd.upgrad.com/UpGrad/b6b9b5aa-7f77-4740-a227-dabd6c212da4/DDA1610011.zip,03-01-2017 22:28,10:28:00 PM,2017,1,3,0,DDA1610011.zip,Y
